Title,Release_Date,Color_BW,Genre,Language,Country,Rating,Lead_Actor,Director_Name,Lead_Actor_FB_Likes,Cast_FB_Likes,Director_FB_Likes,Movie_FB Likes,IMDb_Score,Total_Reviews,Duration_mins,Gross_Revenue_in_thousands ,Budget_in_thousands
Over the Hill to the Poorhouse,9/15/1920,Black and White,Crime,English,USA,Not Rated,Stephen Carr,Harry F. Millarde,2,4,0,0,4.8,1,110,3000,100
Metropolis,1/26/1927,Black and White,Drama,German,Germany,Not Rated,Brigitte Helm,Fritz Lang,136,203,756,12000,8.3,260,145,26.435,6000
The Broadway Melody,11/11/1929,Black and White,Musical,English,USA,Passed,Anita Page,Harry Beaumont,77,109,4,167,6.3,36,100,2808,379
42nd Street,8/29/1933,Black and White,Comedy,English,USA,Unrated,Ginger Rogers,Lloyd Bacon,610,995,24,439,7.7,65,89,2300,439
Top Hat,4/15/1935,Black and White,Comedy,English,USA,Approved,Ginger Rogers,Mark Sandrich,610,824,10,1000,7.8,66,81,3000,609
Modern Times,10/7/1936,Black and White,Comedy,English,USA,G,Paulette Goddard,Charles Chaplin,309,352,0,0,8.6,120,87,163.245,1500
Snow White and the Seven Dwarfs,2/2/1937,Color,Animation,English,USA,Approved,Adriana Caselotti,William Cottrell,82,229,0,0,7.7,145,83,184925.485,2000
Gone with the Wind,11/12/1939,Color,Drama,English,USA,G,Hattie McDaniel,Victor Fleming,503,1862,149,16000,8.2,157,226,198655.278,3977
The Wizard of Oz,4/9/1939,Black and White,Adventure,English,USA,Passed,Margaret Hamilton,Victor Fleming,695,2509,149,14000,8.1,213,102,22202.612,2800
Fantasia,5/18/1940,Color,Animation,English,USA,G,Leopold Stokowski,James Algar,16,16,11,3000,7.8,99,120,76400,2280
Pinocchio,10/12/1940,Color,Animation,English,USA,Approved,Mel Blanc,Norman Ferguson,1000,1178,3,0,7.5,105,88,84300,2600
Duel in the Sun,6/7/1946,Color,Drama,English,USA,Unrated,Joseph Cotten,King Vidor,469,2037,54,403,6.9,32,144,20400,8000
The Best Years of Our Lives,4/26/1946,Black and White,Drama,English,USA,Not Rated,Myrna Loy,William Wyler,749,1941,355,0,8.1,97,172,23650,2100
The Lady from Shanghai,12/7/1947,Black and White,Crime,English,USA,Not Rated,Rita Hayworth,Orson Welles,1000,1055,0,0,7.7,90,92,7.927,2300
The Pirate,4/7/1948,Color,Adventure,English,USA,Approved,Gladys Cooper,Vincente Minnelli,89,282,136,359,7.1,41,102,2956,3700
Annie Get Your Gun,4/2/1950,Color,Biography,English,USA,Passed,Keenan Wynn,George Sidney,277,731,24,456,7,21,107,8000,3768.785
The Greatest Show on Earth,10/23/1952,Color,Drama,English,USA,Not Rated,Gloria Grahame,Cecil B. DeMille,232,825,309,625,6.7,44,152,36000,4000
"The Beast from 20,000 Fathoms",8/22/1953,Black and White,Adventure,English,USA,Approved,Kenneth Tobey,Eugène Lourié,57,205,7,465,6.7,67,80,5000,210
The Robe,5/15/1953,Color,Drama,English,USA,Unrated,Richard Burton,Henry Koster,726,1920,28,0,6.8,42,135,36000,5000
On the Waterfront,10/29/1954,Black and White,Crime,English,USA,Not Rated,Marlon Brando,Elia Kazan,10000,11094,603,0,8.2,134,108,9600,910
Seven Samurai,7/2/1954,Black and White,Action,Japanese,Japan,Unrated,Takashi Shimura,Akira Kurosawa,304,338,0,11000,8.7,153,202,269.061,2000
The Bridge on the River Kwai,9/24/1957,Color,Adventure,English,UK,PG,William Holden,David Lean,682,1035,767,0,8.2,122,161,27200,3000
Some Like It Hot,2/23/1959,Black and White,Comedy,English,USA,Not Rated,Nehemiah Persoff,Billy Wilder,105,527,0,10000,8.3,181,120,25000,2883.848
Psycho,11/4/1960,Black and White,Horror,English,USA,R,Janet Leigh,Alfred Hitchcock,606,1885,13000,18000,8.5,290,108,32000,806.947
West Side Story,5/3/1961,Color,Crime,English,USA,Unrated,Rita Moreno,Jerome Robbins,804,1802,34,0,7.6,120,152,43650,6000
Dr. No,11/27/1962,Color,Action,English,UK,Approved,Ursula Andress,Terence Young,650,1421,92,5000,7.3,184,110,16067.035,1100
Lawrence of Arabia,10/11/1962,Color,Adventure,English,UK,PG,Claude Rains,David Lean,607,1076,767,11000,8.4,181,227,6000,15000
Cleopatra,12/14/1963,Color,Biography,English,UK,Approved,Martin Landau,Joseph L. Mankiewicz,940,2957,311,0,7,72,251,57750,31115
From Russia with Love,11/24/1963,Color,Action,English,UK,Approved,Robert Shaw,Terence Young,559,1456,92,0,7.5,167,115,24800,2000
"It's a Mad, Mad, Mad, Mad World",11/27/1963,Color,Action,English,USA,Approved,Jonathan Winters,Stanley Kramer,924,4109,176,0,7.6,61,197,46300,9400
A Fistful of Dollars,1/13/1964,Color,Action,Italian,Italy,R,Clint Eastwood,Sergio Leone,16000,16534,0,0,8,122,99,3500,200
A Hard Day's Night,5/22/1964,Black and White,Comedy,English,UK,Approved,Paul McCartney,Richard Lester,785,2538,44,0,7.7,105,87,515.005,560
Goldfinger,5/29/1964,Color,Action,English,UK,Approved,Honor Blackman,Guy Hamilton,387,1198,82,0,7.8,164,110,51100,3000
Mary Poppins,3/21/1964,Color,Comedy,English,USA,Approved,Ed Wynn,Robert Stevenson,382,2045,55,0,7.8,145,139,102300,6000
My Fair Lady,7/15/1964,Color,Drama,English,USA,Approved,Jeremy Brett,George Cukor,453,1164,165,0,7.9,82,170,72000,17000
Nothing But a Man,4/9/1964,Black and White,Drama,English,USA,Not Rated,Yaphet Kotto,Michael Roemer,581,835,0,363,8.1,24,95,12.438,160
Doctor Zhivago,6/29/1965,Color,Drama,English,USA,PG-13,Julie Christie,David Lean,597,1966,767,7000,8,89,200,111722,11000
Major Dundee,11/25/1965,Color,Adventure,English,USA,Approved,James Coburn,Sam Peckinpah,773,2888,541,251,6.8,53,152,14.873,3800
The Greatest Story Ever Told,4/18/1965,Color,Biography,English,USA,G,Martin Landau,George Stevens,940,1934,126,1000,6.6,27,225,8000,20000
The Sound of Music,7/18/1965,Color,Biography,English,USA,G,Eleanor Parker,Robert Wise,354,1495,338,15000,8,119,174,163214.286,8200
Thunderball,4/28/1965,Color,Action,English,UK,Approved,Desmond Llewelyn,Terence Young,244,1164,92,0,7,129,130,63600,9000
"The Good, the Bad and the Ugly",6/25/1966,Color,Western,Italian,Italy,Approved,Clint Eastwood,Sergio Leone,16000,16089,0,20000,8.9,181,142,6100,1200
You Only Live Twice,2/23/1967,Color,Action,English,UK,Approved,Donald Pleasence,Lewis Gilbert,742,2127,43,0,6.9,130,117,43100,9500
2001: A Space Odyssey,7/12/1968,Color,Adventure,English,UK,G,Keir Dullea,Stanley Kubrick,273,727,0,24000,8.3,285,161,56715.371,12000
Oliver!,8/19/1968,Color,Drama,English,UK,G,Oliver Reed,Carol Reed,695,1593,82,0,7.5,56,153,16800,10000
Butch Cassidy and the Sundance Kid,11/25/1969,Color,Biography,English,USA,M,Katharine Ross,George Roy Hill,640,2169,131,0,8.1,130,110,102308.9,6000
Mississippi Mermaid,10/13/1969,Color,Crime,French,France,R,Catherine Deneuve,François Truffaut,963,1694,0,278,7.2,35,123,26.893,1600
On Her Majesty's Secret Service,1/30/1969,Color,Action,English,UK,M,Telly Savalas,Peter R. Hunt,803,1769,13,0,6.8,143,142,22800,7000
Beyond the Valley of the Dolls,4/16/1970,Color,Comedy,English,USA,X,Charles Napier,Russ Meyer,503,731,199,0,6.2,101,109,9000,900
Darling Lili,11/16/1970,Color,Comedy,English,USA,G,Rock Hudson,Blake Edwards,638,788,688,104,6.2,22,143,5000,25000
Tora! Tora! Tora!,6/23/1970,Color,Action,English,Japan,G,Joseph Cotten,Richard Fleischer,469,1548,130,0,7.5,79,160,14500,25000
Woodstock,8/25/1970,Color,Documentary,English,USA,R,Joe Cocker,Michael Wadleigh,262,778,14,0,8.1,53,215,13300,600
Diamonds Are Forever,9/3/1971,Color,Action,English,UK,GP,Desmond Llewelyn,Guy Hamilton,244,1105,82,0,6.7,120,120,43800,7200
Fiddler on the Roof,4/12/1971,Color,Drama,English,USA,G,Topol,Norman Jewison,402,934,278,0,8,66,181,50000,9000
Pink Narcissus,5/30/1971,Color,Drama,English,USA,Not Rated,Don Brooks,James Bidgood,0,0,0,85,6.7,8,65,8.231,27
Sweet Sweetback's Baadasssss Song,5/3/1971,Color,Crime,English,USA,R,John Amos,Melvin Van Peebles,982,1631,101,566,5.5,38,97,15180,500
Pink Flamingos,6/16/1972,Color,Comedy,English,USA,NC-17,Divine,John Waters,462,760,0,0,6.1,73,108,180.483,10
The Godfather,2/22/1972,Color,Crime,English,USA,R,Al Pacino,Francis Ford Coppola,14000,28122,0,43000,9.2,208,175,134821.952,6000
American Graffiti,6/13/1973,Color,Comedy,English,USA,PG,Harrison Ford,George Lucas,11000,14954,0,0,7.5,100,112,115000,777
Live and Let Die,8/9/1973,Color,Action,English,UK,PG,Yaphet Kotto,Guy Hamilton,581,1865,82,0,6.8,136,121,35400,7000
Mean Streets,10/30/1973,Color,Crime,English,USA,R,Robert De Niro,Martin Scorsese,22000,23737,17000,0,7.4,112,112,32.645,500
The Exorcist,11/18/1973,Color,Horror,English,USA,R,Ellen Burstyn,William Friedkin,1000,2466,607,18000,8,304,132,204565,8000
The Sting,9/4/1973,Color,Comedy,English,USA,PG,Eileen Brennan,George Roy Hill,1000,2387,131,0,8.3,119,129,159600,5500
Benji,8/21/1974,Color,Adventure,English,USA,G,Frances Bavier,Joe Camp,407,1090,24,816,6.1,5,86,39552.6,500
Blazing Saddles,3/1/1974,Color,Comedy,English,USA,R,Madeline Kahn,Mel Brooks,1000,4701,0,12000,7.8,121,93,119500,2600
The Godfather: Part II,4/13/1974,Color,Crime,English,USA,R,Robert De Niro,Francis Ford Coppola,22000,39960,0,14000,9,149,220,57300,13000
The Man with the Golden Gun,2/28/1974,Color,Action,English,UK,PG,Christopher Lee,Guy Hamilton,16000,17611,82,2000,6.8,118,125,21000,13000
The Texas Chain Saw Massacre,4/12/1974,Color,Horror,English,USA,R,Gunnar Hansen,Tobe Hooper,383,1094,365,0,7.5,277,88,30859,83.532
Young Frankenstein,6/17/1974,Black and White,Comedy,English,USA,PG,Madeline Kahn,Mel Brooks,1000,2703,0,14000,8,129,106,86300,2800
Jaws,2/16/1975,Color,Adventure,English,USA,PG,Roy Scheider,Steven Spielberg,813,2047,14000,21000,8,385,130,260000,8000
Monty Python and the Holy Grail,6/21/1975,Color,Adventure,English,UK,PG,Eric Idle,Terry Gilliam,795,2158,0,14000,8.3,131,91,1229.197,229.575
One Flew Over the Cuckoo's Nest,5/30/1975,Color,Drama,English,USA,R,Scatman Crothers,Milos Forman,888,2176,869,32000,8.7,149,133,112000,4400
Logan's Run,10/5/1976,Color,Action,English,USA,PG,Farrah Fawcett,Michael Anderson,1000,2951,23,0,6.8,112,119,25000,9000
Rocky,11/16/1976,Color,Drama,English,USA,PG,Sylvester Stallone,John G. Avildsen,13000,16094,80,0,8.1,141,145,117235.247,960
A Bridge Too Far,8/21/1977,Black and White,Drama,English,USA,PG,Ryan O'Neal,Richard Attenborough,385,669,0,0,7.4,56,175,50800,26000
Annie Hall,5/17/1977,Color,Comedy,English,USA,PG,Woody Allen,Woody Allen,11000,12691,11000,0,8.1,154,93,39200,4000
Close Encounters of the Third Kind,12/11/1977,Color,Drama,English,USA,PG,Bob Balaban,Steven Spielberg,559,1591,14000,0,7.7,171,135,128300,19400.87
Kingdom of the Spiders,1/2/1977,Color,Horror,English,USA,PG,Woody Strode,John 'Bud' Cardos,423,516,8,0,5.9,95,97,17000,500
March or Die,5/28/1977,Color,Adventure,English,UK,PG,Catherine Deneuve,Dick Richards,963,2209,6,122,6.3,6,107,1000,9000
Star Wars: Episode IV - A New Hope,2/7/1977,Color,Action,English,USA,PG,Harrison Ford,George Lucas,11000,13485,0,33000,8.7,282,125,460935.665,11000
The Spy Who Loved Me,8/1/1977,Color,Action,English,UK,PG,Caroline Munro,Lewis Gilbert,456,1326,43,0,7.1,112,123,46800,14000
Animal House,9/6/1978,Color,Comedy,English,USA,R,John Belushi,John Landis,1000,3468,644,0,7.6,94,109,141600,3000
Caravans,4/17/1978,Color,Action,English,Iran,PG,Christopher Lee,James Fargo,16000,17250,109,76,6.5,2,127,1000,14000
Grease,8/18/1978,Color,Musical,English,USA,PG-13,Olivia Newton-John,Randal Kleiser,1000,5127,116,13000,7.2,124,110,181360,6000
Halloween,8/27/1978,Color,Horror,English,USA,R,Jamie Lee Curtis,John Carpenter,2000,4400,0,12000,7.9,318,101,47000,300
Jaws 2,6/6/1978,Color,Adventure,English,USA,PG,Roy Scheider,Jeannot Szwarc,813,1520,82,0,5.7,75,131,102922.376,20000
Superman,5/10/1978,Color,Action,English,USA,PG,Marlon Brando,Richard Donner,10000,12940,503,0,7.3,169,188,134218.018,55000
The Wiz,7/17/1978,Color,Adventure,English,USA,G,Lena Horne,Sidney Lumet,738,1458,0,0,5.2,32,118,13000,24000
Alien,10/3/1979,Color,Horror,English,UK,R,Tom Skerritt,Ridley Scott,1000,2524,0,23000,8.5,392,116,78900,11000
Apocalypse Now,9/8/1979,Color,Drama,English,USA,R,Harrison Ford,Francis Ford Coppola,11000,25313,0,19000,8.5,261,289,78800,31500
Escape from Alcatraz,5/5/1979,Color,Biography,English,USA,PG,Clint Eastwood,Don Siegel,16000,17568,152,0,7.6,53,112,36500,8000
Moonraker,9/23/1979,Color,Action,English,UK,PG,Desmond Llewelyn,Lewis Gilbert,244,1008,43,0,6.3,121,126,62700,34000
Star Trek: The Motion Picture,11/2/1979,Color,Adventure,English,USA,PG,Leonard Nimoy,Robert Wise,12000,16007,338,0,6.4,134,143,82300,35000
The Rose,5/8/1979,Color,Drama,English,USA,R,David Keith,Mark Rydell,563,1097,43,1000,6.9,32,125,29200,8500
Airplane!,7/9/1980,Color,Comedy,English,USA,PG,Peter Graves,Jim Abrahams,628,2726,104,16000,7.8,134,88,83400,3500
Caddyshack,10/13/1980,Color,Comedy,English,USA,R,Bill Murray,Harold Ramis,13000,14921,11000,0,7.4,71,98,39800,6000
Can't Stop the Music,11/10/1980,Color,Biography,English,USA,PG,Steve Guttenberg,Nancy Walker,801,1462,42,1000,4.5,26,124,2000,20000
Dressed to Kill,6/16/1980,Color,Mystery,English,USA,X,Angie Dickinson,Brian De Palma,754,2442,0,0,7.1,121,104,31899,6500
